NodeID,Name,Knowledge,First,Second,Third,Fourth,Fifth,Sixth
1,指数函数与对数函数,E,E,0,0,0,0,0
2,实数指数幂,E-1,E,1,0,0,0,0
3,指数函数,E-2,E,2,0,0,0,0
4,对数,E-3,E,3,0,0,0,0
5,对数函数,E-4,E,4,0,0,0,0
6,指数函数与对数函数的应用,E-5,E,5,0,0,0,0
7,了解有理数指数幂的概念,E-1-1,E,1,1,0,0,0
8,掌握有理数指数幂的运算法则,E-1-2,E,1,2,0,0,0
9,了解指数函数的概念,E-2-1,E,2,1,0,0,0
10,了解指数函数的图像特征,E-2-2,E,2,2,0,0,0
11,了解指数函数的性质,E-2-3,E,2,3,0,0,0
12,了解对数的概念,E-3-1,E,3,1,0,0,0
13,对数的运算法则，掌握积、商、幂的对数运算,E-3-2,E,3,2,0,0,0
14,掌握对数运算的换底公式,E-3-3,E,3,3,0,0,0
15,了解对数函数的概念,E-4-1,E,4,1,0,0,0
16,了解对数函数的图像特征,E-4-2,E,4,2,0,0,0
17,了解对数函数的性质,E-4-3,E,4,3,0,0,0
18,通过建立指数函数模型求解实际问题,E-5-1,E,5,1,0,0,0
19,通过建立对数函数模型求解实际问题,E-5-2,E,5,2,0,0,0
20,(1)ap*aq=ap+q,E-1-2-1,E,1,2,1,0,0
21,(2)(ap)q=apq,E-1-2-2,E,1,2,2,0,0
22,(3)(ab)p=ap*bp,E-1-2-3,E,1,2,3,0,0
23,掌握比较指数大小的方法,E-2-1-1,E,2,1,1,0,0
24,了解指数函数的单调性和单调区间,E-2-2-1,E,2,2,1,0,0
25,"了解指数函数图像过定点（0,1）",E-2-2-2,E,2,2,2,0,0
26,了解指数函数的定义域,E-2-3-1,E,2,3,1,0,0
27,了解指数函数的值域,E-2-3-2,E,2,3,2,0,0
28,掌握指数式与对数式的转换,E-3-1-1,E,3,1,1,0,0
29,(1)loga（MN）=logaM+logaN,E-3-2-1,E,3,2,1,0,0
30,(2)loga（M/N)=logaM-logaN,E-3-2-2,E,3,2,2,0,0
31,(3)logaMn=nlogaM,E-3-2-3,E,3,2,3,0,0
32,logab=lgb/lga,E-3-3-1,E,3,3,1,0,0
33,掌握比较对数大小的方法,E-4-1-1,E,4,1,1,0,0
34,了解对数函数的单调性和单调区间,E-4-2-1,E,4,2,1,0,0
35,"了解对数函数图像过定点（1,0）",E-4-2-2,E,4,2,2,0,0
36,了解对数函数的定义域,E-4-3-1,E,4,3,1,0,0
37,了解对数函数的值域,E-4-3-2,E,4,3,2,0,0
