NodeID,Name,Knowledge,First,Second,Third,Fourth,Fifth,Sixth
1,集合,A,A,0,0,0,0,0
2,集合的概念,A-1,A,1,0,0,0,0
3,集合的表示方法,A-2,A,2,0,0,0,0
4,集合之间的关系,A-3,A,3,0,0,0,0
5,集合的运算,A-4,A,4,0,0,0,0
6,元素与集合概念,A-1-1,A,1,1,0,0,0
7,集合的分类,A-1-2,A,1,2,0,0,0
8,常用数集及其记法,A-1-3,A,1,3,0,0,0
9,掌握用列举法表示集合,A-2-1,A,2,1,0,0,0
10,掌握用描述法表示集合,A-2-2,A,2,2,0,0,0
11,掌握用Venn图法表示集合,A-2-3,A,2,3,0,0,0
12,理解集合之间的包含关系,A-3-1,A,3,1,0,0,0
13,理解集合之间的真包含关系,A-3-2,A,3,2,0,0,0
14,理解集合之间的相等关系,A-3-3,A,3,3,0,0,0
15,掌握集合之间基本关系的符号表示,A-3-4,A,3,4,0,0,0
16,交集,A-4-1,A,4,1,0,0,0
17,并集,A-4-2,A,4,2,0,0,0
18,补集,A-4-3,A,4,3,0,0,0
19,了解集合的概念,A-1-1-1,A,1,1,1,0,0
20,理解元素与集合之间的关系,A-1-1-2,A,1,1,2,0,0
21,有限集的定义,A-1-2-1,A,1,2,1,0,0
22,无线集的定义,A-1-2-2,A,1,2,2,0,0
23,自然数集N,A-1-3-1,A,1,3,1,0,0
24,正整数集N*或N+,A-1-3-2,A,1,3,2,0,0
25,整数集Z,A-1-3-3,A,1,3,3,0,0
26,有理数集Q,A-1-3-4,A,1,3,4,0,0
27,实数集R,A-1-3-5,A,1,3,5,0,0
28,理解空集是任何集合的子集,A-3-1-1,A,3,1,1,0,0
29,理解空集是任何非空集合的真子集,A-3-2-1,A,3,2,1,0,0
30,理解交集的概念,A-4-1-1,A,4,1,1,0,0
31,理解交集的性质,A-4-1-2,A,4,1,2,0,0
32,掌握集合交集的符号表示,A-4-1-3,A,4,1,3,0,0
33,会求集合的交集,A-4-1-4,A,4,1,4,0,0
34,理解并集的概念,A-4-2-1,A,4,2,1,0,0
35,理解并集的性质,A-4-2-2,A,4,2,2,0,0
36,掌握并集的符号表示,A-4-2-3,A,4,2,3,0,0
37,会求集合的并集,A-4-2-4,A,4,2,4,0,0
38,了解补集的概念,A-4-3-1,A,4,3,1,0,0
39,理解补集的性质,A-4-3-2,A,4,3,2,0,0
40,掌握补集的符号表示,A-4-3-3,A,4,3,3,0,0
41,会求集合的补集,A-4-3-4,A,4,3,4,0,0
42,全集的概念,A-1-1-1-1,A,1,1,1,1,0
43,空集的概念,A-1-1-1-2,A,1,1,1,2,0
44,子集的概念,A-1-1-1-3,A,1,1,1,3,0
45,真子集的概念,A-1-1-1-4,A,1,1,1,4,0
46,元素属于集合的概念,A-1-1-2-1,A,1,1,2,1,0
47,元素不属于集合的概念,A-1-1-2-2,A,1,1,2,2,0
48,(1)A∩B=B∩A,A-4-1-2-1,A,4,1,2,1,0
49,(2)A∩A=A,A-4-1-2-2,A,4,1,2,2,0
50,(3)A∩?=?∩A=?,A-4-1-2-3,A,4,1,2,3,0
51,"(4)A∩B?A,A∩B?B",A-4-1-2-4,A,4,1,2,4,0
52,(1)AUB=BUA;,A-4-2-2-1,A,4,2,2,1,0
53,(2)AUA=A;,A-4-2-2-2,A,4,2,2,2,0
54,(3)A∪?=?∪A=?,A-4-2-2-3,A,4,2,2,3,0
55,"(4)A?(A∪B),B?(A∪B)",A-4-2-2-4,A,4,2,2,4,0
56,(1)A∩CuA=?,A-4-3-2-1,A,4,3,2,1,0
57,(2）A∪CuA=U,A-4-3-2-2,A,4,3,2,2,0
58,(3)Cu(CuA)=A,A-4-3-2-3,A,4,3,2,3,0
